Eixo Y,Ano: 1990,Ano: 2000,Ano: 2010
0,0.010601977,0.000179695,0
0.025,0.159748428,0.029649596,0
0.05,0.229110512,0.113027853,0.000179695
0.075,0.19802336,0.16819407,0.007008086
0.1,0.142138365,0.170530099,0.030368374
0.125,0.107816712,0.150044924,0.075292004
0.15,0.068283917,0.110691824,0.118598383
0.175,0.037556155,0.090745732,0.13638814
0.2,0.02228212,0.06361186,0.125067385
0.225,0.010242588,0.041509434,0.111051213
0.25,0.004672058,0.023719677,0.095597484
0.275,0.003234501,0.017610063,0.079424978
0.3,0.002695418,0.006648697,0.063432165
0.325,0.001078167,0.003953279,0.046361186
0.35,0.000898473,0.004312668,0.031087152
0.375,0.000898473,0.001796945,0.028391734
0.4,0.000179695,0.001437556,0.019047619
0.425,0,0.000539084,0.012578616
0.45,0.000359389,0.000718778,0.004492363
0.475,0,0.000539084,0.004672058
0.5,0.000179695,0,0.005390836
0.525,0,0.000359389,0.002336029
0.55,0,0.000179695,0.001257862
0.575,0,0,0.000539084
0.6,0,0,0.000539084
0.625,0,0,0.000359389
0.65,0,0,0.000179695
0.675,0,0,0.000359389
