Curso,Proporção de Negros,Nota no SISU
TEOLOGIA,0.62500012,#N/A
ESTÉTICA E COSMÉTICA,0.41666672,#N/A
MEDICINA,0.34840503,757.5815966
DIREITO,0.4251152,710.2676022
ENGENHARIA DE PETRÓLEO,0.39722571,707.3581481
ODONTOLOGIA,0.34779951,702.9408955
ENGENHARIA CIVIL,0.37117183,702.7560383
ENGENHARIA QUÍMICA,0.33647946,701.9673418
BIOMEDICINA,0.3983984,696.3177465
ARQUITETURA E URBANISMO,0.33186311,693.8609302
ENGENHARIA MECÂNICA,0.33214307,693.0688148
ENGENHARIA ELÉTRICA,0.38242927,686.66944
RELAÇÕES INTERNACIONAIS,0.28912857,686.21
FARMÁCIA E BIOQUÍMICA,0.10973188,685.902
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,0.31754979,681.2702381
ENGENHARIA DE PRODUÇÃO,0.34537199,680.0594298
PSICOLOGIA,0.38596877,677.6959763
COMUNICAÇÃO SOCIAL,0.45333332,665.5895556
DESIGN GRÁFICO,0.33028221,665.5266667
GESTÃO DA QUALIDADE,0.57653064,665.25
ENGENHARIA DE COMPUTAÇÃO,0.33706266,665.2418519
COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,0.38684884,663.7935
JORNALISMO,0.41056371,663.1589796
FISIOTERAPIA,0.43563807,662.6961538
ENGENHARIA AMBIENTAL,0.36324933,661.1715504
FARMÁCIA,0.4289178,657.9962766
ENGENHARIA DE PRODUÇÃO MECÂNICA,0.20470828,657.9
MEDICINA VETERINÁRIA,0.3698917,657.52815
ENGENHARIA AMBIENTAL E SANITÁRIA,0.40883741,656.6880488
GASTRONOMIA,0.66978925,655.2675926
RADIOLOGIA,0.51851851,650.2445714
CIÊNCIA DA COMPUTAÇÃO,0.3935428,649.4676066
NUTRIÇÃO,0.42448911,648.807381
ENFERMAGEM,0.49410364,648.127594
CIÊNCIAS ECONÔMICAS,0.37018752,648.1197251
FONOAUDIOLOGIA,0.42735848,646.326
COMUNICAÇÃO SOCIAL - JORNALISMO,0.44444445,646.2424051
ADMINISTRAÇÃO PÚBLICA,0.47327101,645.9484375
DESIGN,0.40618858,644.2395556
ADMINISTRAÇÃO,0.43783525,643.4966667
DESIGN DE INTERIORES,0.56505579,640.546
CIÊNCIAS CONTÁBEIS,0.47041243,639.3566369
ENGENHARIA DE ALIMENTOS,0.38671976,639.3549153
DESIGN DE MODA,0.39130437,637.4968421
LETRAS,0.46633506,636.1421053
PUBLICIDADE E PROPAGANDA,0.35106382,636
SISTEMAS DE INFORMAÇÃO,0.51484865,631.82671
ENGENHARIA FLORESTAL,0.48418909,631.8094479
GESTÃO PÚBLICA,0.57384443,630.1985
GESTÃO DE RECURSOS HUMANOS,0.48660085,628.7918182
TURISMO,0.51627344,626.9827928
AUTOMAÇÃO INDUSTRIAL,0.42446849,626.3809859
CIÊNCIA E TECNOLOGIA,0.54602802,625.5497
SERVIÇO SOCIAL,0.54615957,625.2034254
SISTEMA DE INFORMAÇÃO,0.44419491,623.9569091
LETRAS - INGLÊS,0.52975166,623.2574757
HISTÓRIA,0.53006643,622.9991136
CIÊNCIAS SOCIAIS,0.47377726,621.8458744
EDUCAÇÃO FÍSICA,0.5366779,621.6698684
LOGÍSTICA,0.37661916,619.1580488
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,0.3567197,618.0480606
COMÉRCIO EXTERIOR,0.30474988,617.95
PROCESSOS GERENCIAIS,0.29878917,617.8351111
ARTES VISUAIS,0.46311727,617.560354
INFORMÁTICA,0.53351378,616.802
CIÊNCIAS BIOLÓGICAS,0.47719619,616.2865276
AGRONOMIA,0.41587368,614.8187
MÚSICA,0.52692974,614.7818367
FILOSOFIA,0.51301992,614.7015951
LETRAS - PORTUGUÊS,0.58289355,614.1153488
QUÍMICA,0.52961934,613.0254345
LETRAS - PORTUGUÊS E INGLÊS,0.49654114,612.8624658
LETRAS - ESPANHOL,0.50808156,612.489878
FÍSICA,0.52021158,610.4266667
MATEMÁTICA,0.58413529,606.8486934
ZOOTECNIA,0.47175527,605.0064151
GEOGRAFIA,0.53644359,604.8692614
GESTÃO HOSPITALAR,0.48911223,604.7726667
PEDAGOGIA,0.57885712,602.1733054
GESTÃO COMERCIAL,0.41394928,601.588
LETRAS - LÍNGUA PORTUGUESA,0.60121959,600.9742336
GESTÃO AMBIENTAL,0.51009399,600.4024176
SEGURANÇA NO TRABALHO,0.57872343,596.776
REDES DE COMPUTADORES,0.41651943,591.9725455
